Date,Ring,GPP_ambient
2013/1/1,1,2.556136153
2013/1/2,1,3.047820114
2013/1/3,1,3.750702124
2013/1/4,1,3.678859634
2013/1/5,1,3.129423972
2013/1/6,1,3.556310837
2013/1/7,1,3.647123578
2013/1/8,1,1.78840571
2013/1/9,1,3.679908376
2013/1/10,1,3.32937188
2013/1/11,1,3.0909701
2013/1/12,1,2.902438567
2013/1/13,1,2.359214684
2013/1/14,1,3.638200715
2013/1/15,1,3.984855155
2013/1/16,1,3.624205266
2013/1/17,1,3.844612199
2013/1/18,1,1.492345125
2013/1/19,1,2.582868072
2013/1/20,1,2.790017831
2013/1/21,1,3.9183126
2013/1/22,1,3.331990068
2013/1/23,1,2.803666144
2013/1/24,1,3.817601593
2013/1/25,1,4.083434453
2013/1/26,1,4.236611893
2013/1/27,1,2.718759604
2013/1/28,1,1.709187801
2013/1/29,1,4.59460448
2013/1/30,1,3.824048056
2013/1/31,1,4.389266185
2013/2/1,1,2.56014533
2013/2/2,1,2.776719098
2013/2/3,1,3.979657893
2013/2/4,1,4.182429337
2013/2/5,1,4.480575183
2013/2/6,1,4.560084002
2013/2/7,1,4.306012208
2013/2/8,1,4.04277309
2013/2/9,1,4.102622275
2013/2/10,1,3.499378084
2013/2/11,1,2.878821094
2013/2/12,1,2.414443538
2013/2/13,1,4.231299734
2013/2/14,1,4.73819901
2013/2/15,1,4.043643375
2013/2/16,1,3.975895623
2013/2/17,1,4.480274495
2013/2/18,1,4.38707825
2013/2/19,1,4.846813473
2013/2/20,1,4.370185926
2013/2/21,1,4.636155685
2013/2/22,1,4.541424218
2013/2/23,1,2.570635194
2013/2/24,1,4.830402739
2013/2/25,1,4.322721186
2013/2/26,1,4.471904117
2013/2/27,1,4.726618845
2013/2/28,1,3.286136332
2013/3/1,1,2.020991739
2013/3/2,1,3.000164693
2013/3/3,1,3.559972878
2013/3/4,1,4.681452047
2013/3/5,1,4.975684057
2013/3/6,1,4.819309054
2013/3/7,1,4.931866689
2013/3/8,1,4.401220376
2013/3/9,1,4.761180882
2013/3/10,1,4.932788311
2013/3/11,1,4.27696279
2013/3/12,1,4.712141806
2013/3/13,1,4.813943113
2013/3/14,1,3.755055993
2013/3/15,1,3.392279285
2013/3/16,1,4.816913327
2013/3/17,1,4.301284313
2013/3/18,1,4.250277319
2013/3/19,1,4.350144932
2013/3/20,1,4.821379647
2013/3/21,1,4.479159748
2013/3/22,1,3.990313991
2013/3/23,1,4.384545623
2013/3/24,1,4.70964096
2013/3/25,1,4.620030972
2013/3/26,1,4.69301021
2013/3/27,1,4.10078881
2013/3/28,1,3.953718031
2013/3/29,1,4.514474728
2013/3/30,1,4.725552991
2013/3/31,1,3.890370595
2013/4/1,1,4.750099419
2013/4/2,1,4.597508688
2013/4/3,1,2.308628164
2013/4/4,1,2.887240365
2013/4/5,1,4.190291235
2013/4/6,1,4.205029848
2013/4/7,1,4.440710766
2013/4/8,1,4.860522902
2013/4/9,1,4.500902198
2013/4/10,1,4.62467575
2013/4/11,1,4.613743409
2013/4/12,1,4.448917355
2013/4/13,1,4.877090091
2013/4/14,1,4.65127077
2013/4/15,1,4.214439191
2013/4/16,1,2.867925423
2013/4/17,1,4.401398833
2013/4/18,1,4.725768117
2013/4/19,1,3.750963699
2013/4/20,1,3.492701827
2013/4/21,1,4.145148883
2013/4/22,1,4.039411738
2013/4/23,1,4.271181264
2013/4/24,1,4.335765677
2013/4/25,1,4.254115372
2013/4/26,1,4.339439941
2013/4/27,1,4.489595831
2013/4/28,1,4.190692153
2013/4/29,1,4.322095363
2013/4/30,1,4.092706897
2013/5/1,1,4.014097698
2013/5/2,1,3.377222871
2013/5/3,1,4.170030225
2013/5/4,1,3.355962011
2013/5/5,1,3.728038053
2013/5/6,1,3.852126961
2013/5/7,1,3.656474249
2013/5/8,1,4.094484135
2013/5/9,1,4.134612571
2013/5/10,1,4.054245691
2013/5/11,1,3.77127849
2013/5/12,1,3.787923907
2013/5/13,1,3.117237542
2013/5/14,1,3.418145808
2013/5/15,1,3.456775692
2013/5/16,1,3.73789965
2013/5/17,1,3.619347807
2013/5/18,1,3.59575478
2013/5/19,1,3.469908191
2013/5/20,1,3.445679562
2013/5/21,1,3.345173903
2013/5/22,1,2.574759268
2013/5/23,1,2.613545607
2013/5/24,1,3.335632552
2013/5/25,1,3.774938086
2013/5/26,1,3.453680803
2013/5/27,1,3.004958593
2013/5/28,1,3.015062207
2013/5/29,1,2.623426761
2013/5/30,1,3.594204891
2013/5/31,1,3.723224596
2013/6/1,1,2.37763734
2013/6/2,1,1.853244364
2013/6/3,1,3.349339536
2013/6/4,1,3.464977392
2013/6/5,1,3.092009064
2013/6/6,1,2.002510412
2013/6/7,1,2.838421305
2013/6/8,1,2.797359024
2013/6/9,1,3.527452099
2013/6/10,1,2.494419278
2013/6/11,1,3.365361575
2013/6/12,1,1.927289457
2013/6/13,1,3.100601903
2013/6/14,1,3.437287182
2013/6/15,1,3.21488544
2013/6/16,1,3.26206416
2013/6/17,1,2.961437024
2013/6/18,1,2.991916546
2013/6/19,1,3.000142692
2013/6/20,1,2.959092634
2013/6/21,1,2.932402274
2013/6/22,1,2.661320815
2013/6/23,1,2.179576678
2013/6/24,1,2.205279412
2013/6/25,1,1.765978767
2013/6/26,1,2.691793002
2013/6/27,1,2.620757236
2013/6/28,1,2.640367977
2013/6/29,1,1.251953424
